Invoice_ID,Product_Category,List_Price,Discount_Percent,Discount_Amount,Quantity,Net_Revenue,COGS,Gross_Margin,Gross_Margin_Percent,Customer_Segment,Sales_Channel,Invoice_Date,Discount_Tier
INV100053,Footwear,827.6,15.3,253.25,2,1401.95,1247.5,154.45,11.02,Retail,Marketplace,2025-09-07,Medium
INV100054,Beauty,1656.33,7.7,637.69,5,7643.96,4682.35,2961.61,38.74,Retail,Direct Website,2025-01-28,Low
INV100055,Footwear,4784.78,18.5,885.18,1,3899.6,3388.67,510.93,13.1,Retail,In-Store,2025-04-21,Medium
INV100056,Electronics,4249.0,2.1,446.14,5,20798.86,14325.43,6473.43,31.12,Retail,In-Store,2025-04-03,Low
INV100057,Apparel,2453.18,9.9,2671.51,11,24313.47,16213.93,8099.54,33.31,Wholesale,Direct Website,2025-06-07,Low
INV100058,Electronics,21721.27,11.2,4865.56,2,38576.98,26266.59,12310.39,31.91,Retail,In-Store,2025-11-11,Medium
INV100059,Apparel,2407.62,4.8,115.57,1,2292.05,1576.92,715.13,31.2,Retail,In-Store,2025-10-03,Low
INV100060,Home & Kitchen,2656.66,0.0,0.0,4,10626.64,6839.4,3787.24,35.64,Retail,Direct Website,2025-09-02,No Discount
INV100061,Apparel,3158.62,15.9,22599.93,45,119537.97,70591.84,48946.13,40.95,Wholesale,Marketplace,2025-02-17,Medium
INV100062,Grocery,718.57,35.6,511.62,2,925.52,806.4,119.12,12.87,Retail,Direct Website,2025-12-23,Very High
INV100063,Home & Kitchen,4951.41,0.0,0.0,3,14854.23,7763.46,7090.77,47.74,Retail,Direct Website,2025-03-04,No Discount
INV100064,Apparel,922.4,8.9,164.19,2,1680.61,983.5,697.11,41.48,Retail,Direct Website,2025-03-22,Low
INV100065,Beauty,1753.26,16.6,582.08,2,2924.44,1743.54,1180.9,40.38,Corporate,Marketplace,2025-09-22,Medium
INV100066,Electronics,17473.48,0.0,0.0,2,34946.96,22329.54,12617.42,36.1,Retail,Direct Website,2025-03-04,No Discount
INV100067,Grocery,269.25,7.6,40.93,2,497.57,387.93,109.64,22.04,Retail,Marketplace,2025-04-06,Low
INV100068,Electronics,10353.5,22.7,54055.62,23,184074.88,137020.27,47054.61,25.56,Wholesale,Marketplace,2025-02-04,High
INV100069,Footwear,711.84,7.7,54.81,1,657.03,387.58,269.45,41.01,Retail,Marketplace,2025-01-06,Low
INV100070,Grocery,178.45,28.0,99.93,2,256.97,214.03,42.94,16.71,Retail,Marketplace,2025-11-15,High
INV100071,Apparel,569.1,25.8,146.83,1,422.27,342.51,79.76,18.89,Corporate,Marketplace,2025-07-05,High
INV100072,Electronics,9934.92,0.0,0.0,4,39739.68,23718.94,16020.74,40.31,Retail,Marketplace,2025-05-02,No Discount
INV100073,Grocery,292.4,8.2,119.88,5,1342.12,1011.76,330.36,24.61,Retail,Direct Website,2025-10-25,Low
INV100074,Grocery,161.36,4.3,34.69,5,772.11,514.84,257.27,33.32,Retail,In-Store,2025-12-20,Low
INV100075,Grocery,1459.86,0.0,0.0,4,5839.44,4035.46,1803.98,30.89,Retail,Direct Website,2025-08-18,No Discount
INV100076,Grocery,887.99,0.0,0.0,2,1775.98,968.88,807.1,45.45,Retail,Marketplace,2025-03-03,No Discount
INV100077,Electronics,2617.07,29.2,3820.92,5,9264.43,6207.31,3057.12,33.0,Retail,In-Store,2025-06-10,High
INV100078,Home & Kitchen,482.04,11.0,2227.02,42,18018.66,8108.4,9910.26,55.0,Wholesale,Direct Website,2025-07-05,Medium
INV100079,Electronics,4702.07,18.1,4255.37,5,19254.98,14511.79,4743.19,24.63,Retail,Direct Website,2025-08-08,Medium
INV100080,Footwear,3305.81,2.4,238.02,3,9679.41,5970.89,3708.52,38.31,Retail,Marketplace,2025-04-19,Low
INV100081,Beauty,421.83,0.0,0.0,1,421.83,254.53,167.3,39.66,Retail,Direct Website,2025-02-24,No Discount
INV100082,Apparel,852.67,28.4,726.47,3,1831.54,1384.44,447.1,24.41,Retail,Marketplace,2025-06-07,High
INV100083,Electronics,21262.42,0.0,0.0,2,42524.84,19136.18,23388.66,55.0,Retail,In-Store,2025-04-20,No Discount
INV100084,Apparel,3026.48,26.1,1579.82,2,4473.14,3416.3,1056.84,23.63,Retail,Direct Website,2025-07-11,High
INV100085,Apparel,1703.33,19.6,667.71,2,2738.95,2001.85,737.1,26.91,Corporate,Marketplace,2025-06-10,Medium
INV100086,Grocery,1390.15,3.6,100.09,2,2680.21,1313.65,1366.56,50.99,Corporate,Direct Website,2025-04-25,Low
INV100087,Beauty,1978.1,0.0,0.0,5,9890.5,5744.81,4145.69,41.92,Retail,Direct Website,2025-08-19,No Discount
INV100088,Footwear,4185.67,8.2,1372.9,4,15369.78,10188.34,5181.44,33.71,Retail,Direct Website,2025-06-09,Low
INV100089,Home & Kitchen,1344.84,12.4,667.04,4,4712.32,2790.32,1922.0,40.79,Corporate,Marketplace,2025-04-15,Medium
INV100090,Electronics,5972.5,17.3,40296.46,39,192631.04,139117.83,53513.21,27.78,Wholesale,Marketplace,2025-05-15,Medium
INV100091,Grocery,1433.23,0.0,0.0,3,4299.69,3152.83,1146.86,26.67,Retail,Direct Website,2025-07-05,No Discount
INV100092,Grocery,558.34,7.6,127.3,3,1547.72,928.22,619.5,40.03,Retail,Direct Website,2025-03-25,Low
INV100093,Beauty,1753.27,29.2,2559.77,5,6206.58,5168.72,1037.86,16.72,Retail,Marketplace,2025-11-21,High
INV100094,Grocery,1226.44,16.8,206.04,1,1020.4,833.8,186.6,18.29,Retail,Marketplace,2025-04-15,Medium
INV100095,Home & Kitchen,3368.06,6.1,410.9,2,6325.22,4455.79,1869.43,29.56,Retail,Direct Website,2025-09-14,Low
INV100096,Beauty,2573.21,1.4,1152.8,32,81189.92,58691.36,22498.56,27.71,Wholesale,Direct Website,2025-01-21,Low
INV100097,Home & Kitchen,2590.95,0.0,0.0,2,5181.9,2447.39,2734.51,52.77,Retail,Direct Website,2025-01-11,No Discount
INV100098,Electronics,7692.6,15.0,5769.45,5,32693.55,25674.77,7018.78,21.47,Retail,Direct Website,2025-05-11,Medium
INV100099,Electronics,6860.91,12.7,871.34,1,5989.57,3894.82,2094.75,34.97,Corporate,In-Store,2025-04-23,Medium
INV100100,Electronics,7031.47,13.6,4781.4,5,30375.95,19370.77,11005.18,36.23,Retail,Marketplace,2025-04-13,Medium
INV100101,Beauty,2127.13,1.2,484.99,19,39930.48,23642.16,16288.32,40.79,Wholesale,Direct Website,2025-12-26,Low
INV100102,Apparel,3054.71,0.0,0.0,1,3054.71,1838.07,1216.64,39.83,Corporate,Direct Website,2025-07-24,No Discount
INV100103,Home & Kitchen,5380.42,0.0,0.0,47,252879.74,143966.55,108913.19,43.07,Wholesale,Direct Website,2025-04-06,No Discount
INV100104,Footwear,740.08,18.6,412.96,3,1807.28,1442.45,364.83,20.19,Retail,Marketplace,2025-12-17,Medium
INV100105,Apparel,3180.16,9.0,286.21,1,2893.95,1933.63,960.32,33.18,Retail,Marketplace,2025-12-21,Low
INV100106,Home & Kitchen,4972.28,5.1,1014.35,4,18874.77,10487.52,8387.25,44.44,Retail,Direct Website,2025-06-27,Low
INV100107,Grocery,1475.9,0.0,0.0,12,17710.8,10132.28,7578.52,42.79,Wholesale,Direct Website,2025-06-12,No Discount
INV100108,Apparel,2853.97,4.6,131.28,1,2722.69,1679.72,1042.97,38.31,Retail,Direct Website,2025-12-02,Low
INV100109,Electronics,14365.64,1.8,1292.91,5,70535.29,32533.92,38001.37,53.88,Retail,Marketplace,2025-10-05,Low
INV100110,Apparel,1355.01,14.4,390.24,2,2319.78,1331.83,987.95,42.59,Retail,Marketplace,2025-07-21,Medium
INV100111,Electronics,9896.19,15.6,6175.22,4,33409.54,20206.5,13203.04,39.52,Retail,Marketplace,2025-03-14,Medium
INV100112,Footwear,4930.42,15.0,2218.69,3,12572.57,9061.07,3511.5,27.93,Retail,Marketplace,2025-11-07,Medium
INV100113,Grocery,945.67,16.1,456.76,3,2380.25,2132.94,247.31,10.39,Retail,Marketplace,2025-07-17,Medium
INV100114,Beauty,2867.1,22.4,1284.46,2,4449.74,3805.34,644.4,14.48,Corporate,Direct Website,2025-08-20,High
INV100115,Footwear,2106.91,24.7,3122.44,6,9519.02,7070.4,2448.62,25.72,Wholesale,Marketplace,2025-12-19,High
INV100116,Grocery,1366.66,18.4,754.4,3,3345.58,2306.92,1038.66,31.05,Corporate,Marketplace,2025-10-03,Medium
INV100117,Apparel,2402.77,1.1,105.72,4,9505.36,4880.94,4624.42,48.65,Retail,Marketplace,2025-05-19,Low
INV100118,Footwear,3962.19,24.5,970.74,1,2991.45,2515.16,476.29,15.92,Retail,In-Store,2025-08-21,High
INV100119,Beauty,375.46,0.0,0.0,5,1877.3,1339.07,538.23,28.67,Retail,Direct Website,2025-02-03,No Discount
INV100120,Grocery,532.58,22.2,354.7,3,1243.04,871.51,371.53,29.89,Retail,Direct Website,2025-12-22,High
INV100121,Footwear,1537.96,27.2,418.33,1,1119.63,810.95,308.68,27.57,Retail,Direct Website,2025-08-12,High
INV100122,Apparel,1424.66,0.0,0.0,4,5698.64,3313.17,2385.47,41.86,Corporate,Direct Website,2025-10-08,No Discount
INV100123,Electronics,23428.03,43.2,30362.73,3,39921.36,38597.44,1323.92,3.32,Retail,Marketplace,2025-05-10,Very High
INV100124,Apparel,2806.39,7.6,1066.43,5,12965.52,8423.6,4541.92,35.03,Retail,Direct Website,2025-10-17,Low
INV100125,Home & Kitchen,980.68,12.5,490.34,4,3432.38,2468.07,964.31,28.09,Retail,Direct Website,2025-02-19,Medium
INV100126,Grocery,1012.81,14.9,5281.8,35,30166.55,22673.37,7493.18,24.84,Wholesale,Marketplace,2025-05-05,Medium
INV100127,Footwear,2170.01,14.9,9053.28,28,51707.0,33578.56,18128.44,35.06,Wholesale,Marketplace,2025-05-15,Medium
INV100128,Electronics,22311.87,2.9,1294.09,2,43329.65,22488.25,20841.4,48.1,Retail,Direct Website,2025-12-28,Low
INV100129,Beauty,410.67,21.9,89.94,1,320.73,262.94,57.79,18.02,Corporate,Direct Website,2025-08-18,High
INV100130,Home & Kitchen,4555.11,0.0,0.0,2,9110.22,4573.77,4536.45,49.8,Retail,Marketplace,2025-05-06,No Discount
INV100131,Apparel,3085.12,0.0,0.0,5,15425.6,8710.68,6714.92,43.53,Retail,Marketplace,2025-04-19,No Discount
INV100132,Electronics,11474.0,1.7,390.12,2,22557.88,14779.17,7778.71,34.48,Retail,Direct Website,2025-11-04,Low
INV100133,Apparel,1598.41,3.0,239.76,5,7752.29,5021.97,2730.32,35.22,Retail,Marketplace,2025-11-04,Low
INV100134,Footwear,4922.0,0.0,0.0,3,14766.0,9701.76,5064.24,34.3,Retail,In-Store,2025-09-05,No Discount
INV100135,Apparel,1771.13,8.7,462.26,3,4851.13,3322.84,1528.29,31.5,Retail,Direct Website,2025-03-27,Low
INV100136,Beauty,1900.26,6.4,5959.22,49,87153.52,53965.86,33187.66,38.08,Wholesale,In-Store,2025-10-05,Low
INV100137,Grocery,1147.54,0.0,0.0,5,5737.7,3033.93,2703.77,47.12,Retail,Marketplace,2025-06-27,No Discount
INV100138,Home & Kitchen,5234.42,1.4,3590.81,49,252895.77,170932.75,81963.02,32.41,Wholesale,Marketplace,2025-10-08,Low
INV100139,Footwear,5775.32,7.3,421.6,1,5353.72,3628.86,1724.86,32.22,Retail,In-Store,2025-08-06,Low
INV100140,Footwear,2858.32,12.2,11856.31,34,85326.57,66815.05,18511.52,21.69,Wholesale,Marketplace,2025-04-23,Medium
INV100141,Apparel,1655.15,22.1,1828.94,5,6446.81,4328.25,2118.56,32.86,Retail,Direct Website,2025-05-07,High
INV100142,Home & Kitchen,4547.77,2.1,286.51,3,13356.8,7289.54,6067.26,45.42,Corporate,Direct Website,2025-08-23,Low
INV100143,Apparel,1343.37,12.9,346.59,2,2340.15,1780.17,559.98,23.93,Retail,Marketplace,2025-07-08,Medium
INV100144,Apparel,1846.7,29.6,2186.49,4,5200.31,4382.72,817.59,15.72,Retail,Marketplace,2025-09-06,High
INV100145,Electronics,6273.05,15.8,4955.71,5,26409.54,18033.37,8376.17,31.72,Retail,Direct Website,2025-12-10,Medium
INV100146,Beauty,2803.87,14.5,406.56,1,2397.31,1471.8,925.51,38.61,Retail,Marketplace,2025-09-11,Medium
INV100147,Home & Kitchen,2668.97,7.9,210.85,1,2458.12,1340.19,1117.93,45.48,Retail,Direct Website,2025-02-11,Low
INV100148,Electronics,7836.8,7.3,1716.26,3,21794.14,15367.07,6427.07,29.49,Retail,In-Store,2025-02-18,Low
INV100149,Apparel,2805.19,19.2,2154.39,4,9066.37,8460.15,606.22,6.69,Retail,Direct Website,2025-09-03,Medium
INV100150,Footwear,4336.76,34.1,14788.35,10,28579.25,27209.37,1369.88,4.79,Wholesale,Marketplace,2025-06-05,Very High
INV100151,Apparel,900.77,24.0,864.74,4,2738.34,2137.19,601.15,21.95,Retail,In-Store,2025-11-12,High
INV100152,Electronics,10752.45,19.5,4193.46,2,17311.44,13684.34,3627.1,20.95,Retail,Direct Website,2025-07-16,Medium
INV100153,Home & Kitchen,3471.11,25.8,2686.64,3,7726.69,6767.76,958.93,12.41,Retail,In-Store,2025-10-01,High
INV100154,Footwear,1146.33,3.8,217.8,5,5513.85,3256.44,2257.41,40.94,Retail,Direct Website,2025-10-24,Low
INV100155,Apparel,3337.96,26.4,38773.74,44,108096.5,77146.21,30950.29,28.63,Wholesale,Direct Website,2025-05-09,High
INV100156,Grocery,827.6,0.0,0.0,4,3310.4,1742.51,1567.89,47.36,Retail,Direct Website,2025-05-19,No Discount
INV100157,Grocery,152.54,0.0,0.0,5,762.7,419.94,342.76,44.94,Retail,Direct Website,2025-06-16,No Discount
INV100158,Apparel,531.68,5.2,82.94,3,1512.1,869.16,642.94,42.52,Retail,In-Store,2025-08-18,Low
INV100159,Grocery,985.53,5.3,261.17,5,4666.48,3171.04,1495.44,32.05,Retail,Marketplace,2025-07-07,Low
INV100160,Home & Kitchen,304.02,7.1,107.93,5,1412.17,939.78,472.39,33.45,Corporate,In-Store,2025-08-01,Low
INV100161,Beauty,359.97,11.9,42.84,1,317.13,251.55,65.58,20.68,Retail,In-Store,2025-03-01,Medium
INV100162,Beauty,1729.7,1.6,525.83,19,32338.47,18408.58,13929.89,43.08,Wholesale,Marketplace,2025-11-03,Low
INV100163,Beauty,1874.6,8.6,4675.25,29,49688.15,35083.17,14604.98,29.39,Wholesale,Marketplace,2025-08-24,Low
INV100164,Electronics,15784.05,0.0,0.0,5,78920.25,37845.09,41075.16,52.05,Retail,Direct Website,2025-06-13,No Discount
INV100165,Grocery,576.73,6.8,196.09,5,2687.56,1726.18,961.38,35.77,Retail,Direct Website,2025-01-11,Low
INV100166,Apparel,3340.23,3.5,5845.4,50,161166.1,109262.38,51903.72,32.21,Wholesale,Direct Website,2025-04-18,Low
INV100167,Apparel,2939.53,4.0,352.74,3,8465.85,5844.4,2621.45,30.96,Retail,Direct Website,2025-05-08,Low
INV100168,Electronics,13181.45,6.9,37290.32,41,503149.13,240284.78,262864.35,52.24,Wholesale,Direct Website,2025-08-09,Low
INV100169,Beauty,2398.72,23.9,22358.47,39,71191.61,57636.61,13555.0,19.04,Wholesale,Direct Website,2025-08-06,High
INV100170,Grocery,1176.38,0.0,0.0,3,3529.14,2169.6,1359.54,38.52,Retail,In-Store,2025-10-01,No Discount
INV100171,Electronics,8147.46,3.8,1548.02,5,39189.28,21758.24,17431.04,44.48,Retail,In-Store,2025-08-08,Low
INV100172,Beauty,2673.74,9.0,481.27,2,4866.21,3160.43,1705.78,35.05,Retail,Marketplace,2025-10-25,Low
INV100173,Apparel,3178.47,7.2,3890.45,17,50143.54,35771.45,14372.09,28.66,Wholesale,In-Store,2025-04-09,Low
INV100174,Beauty,2289.55,18.5,13130.57,31,57845.48,44544.23,13301.25,22.99,Wholesale,Direct Website,2025-03-06,Medium
INV100175,Electronics,14926.55,1.2,358.24,2,29494.86,18515.21,10979.65,37.23,Retail,Direct Website,2025-05-02,Low
INV100176,Grocery,418.04,9.8,122.9,3,1131.22,801.32,329.9,29.16,Retail,Direct Website,2025-03-01,Low
INV100177,Home & Kitchen,541.36,7.7,125.05,3,1499.03,1022.69,476.34,31.78,Retail,Direct Website,2025-02-11,Low
INV100178,Footwear,3668.63,17.7,649.35,1,3019.28,2260.27,759.01,25.14,Retail,Marketplace,2025-04-14,Medium
INV100179,Electronics,9822.82,15.1,2966.49,2,16679.15,10544.87,6134.28,36.78,Retail,Direct Website,2025-07-25,Medium
INV100180,Home & Kitchen,1403.43,0.0,0.0,4,5613.72,3238.55,2375.17,42.31,Retail,Direct Website,2025-10-20,No Discount
INV100181,Electronics,16213.77,13.7,59974.74,27,377797.05,251443.87,126353.18,33.44,Wholesale,Direct Website,2025-05-22,Medium
INV100182,Footwear,3443.48,4.1,564.73,4,13209.19,7456.04,5753.15,43.55,Retail,Direct Website,2025-01-26,Low
INV100183,Footwear,1931.25,0.0,0.0,1,1931.25,1136.87,794.38,41.13,Retail,Direct Website,2025-09-23,No Discount
INV100184,Apparel,560.99,0.0,0.0,2,1121.98,741.41,380.57,33.92,Retail,Direct Website,2025-09-02,No Discount
INV100185,Beauty,2083.23,22.5,1874.91,4,6458.01,5313.39,1144.62,17.72,Corporate,Marketplace,2025-09-03,High
INV100186,Grocery,449.71,0.0,0.0,5,2248.55,1177.64,1070.91,47.63,Retail,In-Store,2025-01-14,No Discount
INV100187,Beauty,2575.59,34.7,2681.19,3,5045.58,4615.82,429.76,8.52,Retail,Direct Website,2025-03-06,Very High
INV100188,Beauty,291.54,8.2,119.53,5,1338.17,959.97,378.2,28.26,Retail,Direct Website,2025-10-06,Low
INV100189,Apparel,567.53,13.6,77.18,1,490.35,305.78,184.57,37.64,Retail,Direct Website,2025-04-15,Medium
INV100190,Electronics,6756.54,0.0,0.0,38,256748.52,158096.58,98651.94,38.42,Wholesale,Marketplace,2025-01-15,No Discount
INV100191,Footwear,3855.69,39.2,13602.87,9,21098.34,19476.3,1622.04,7.69,Wholesale,Direct Website,2025-11-16,Very High
INV100192,Footwear,762.35,26.6,811.14,4,2238.26,2052.22,186.04,8.31,Retail,Direct Website,2025-06-23,High
INV100193,Beauty,2198.41,8.5,934.32,5,10057.73,6620.98,3436.75,34.17,Retail,In-Store,2025-04-11,Low
INV100194,Apparel,3822.48,22.1,3379.07,4,11910.85,8312.48,3598.37,30.21,Retail,In-Store,2025-03-13,High
INV100195,Home & Kitchen,2299.97,11.5,1057.99,4,8141.89,5228.42,2913.47,35.78,Retail,Marketplace,2025-12-18,Medium
INV100196,Grocery,1003.51,0.0,0.0,45,45157.95,24829.24,20328.71,45.02,Wholesale,Marketplace,2025-05-08,No Discount
INV100197,Footwear,5885.87,23.1,5438.54,4,18104.94,15110.82,2994.12,16.54,Retail,Direct Website,2025-04-16,High
INV100198,Footwear,3057.15,12.6,1540.8,4,10687.8,8999.59,1688.21,15.8,Retail,Direct Website,2025-04-16,Medium
INV100199,Grocery,185.09,11.6,85.88,4,654.48,432.42,222.06,33.93,Retail,Direct Website,2025-09-04,Medium
INV100200,Beauty,1435.87,12.9,185.23,1,1250.64,621.99,628.65,50.27,Corporate,Direct Website,2025-10-18,Medium
INV100201,Electronics,15234.65,7.8,4753.21,4,56185.39,34613.72,21571.67,38.39,Retail,Marketplace,2025-01-25,Low
INV100202,Electronics,4927.54,17.4,26579.15,31,126174.59,107326.87,18847.72,14.94,Wholesale,In-Store,2025-03-22,Medium
INV100203,Footwear,5551.98,6.4,1421.31,4,20786.61,15067.22,5719.39,27.51,Retail,Direct Website,2025-02-17,Low
INV100204,Beauty,2504.07,19.2,1442.34,3,6069.87,5318.86,751.01,12.37,Corporate,Direct Website,2025-05-25,Medium
INV100205,Electronics,20998.07,0.0,0.0,3,62994.21,43140.17,19854.04,31.52,Retail,Direct Website,2025-01-12,No Discount
INV100206,Electronics,21749.03,9.5,2066.16,1,19682.87,13877.05,5805.82,29.5,Retail,Direct Website,2025-11-18,Low
INV100207,Grocery,581.44,7.3,169.78,4,2155.98,1300.67,855.31,39.67,Retail,Direct Website,2025-07-21,Low
INV100208,Electronics,9683.65,0.0,0.0,5,48418.25,31544.56,16873.69,34.85,Retail,In-Store,2025-05-22,No Discount
INV100209,Electronics,5060.92,8.3,840.11,2,9281.73,6457.54,2824.19,30.43,Retail,Marketplace,2025-03-02,Low
INV100210,Beauty,1183.96,40.3,1431.41,3,2120.47,2075.52,44.95,2.12,Retail,Direct Website,2025-05-26,Very High
INV100211,Grocery,936.02,12.0,112.32,1,823.7,562.51,261.19,31.71,Retail,Direct Website,2025-07-16,Medium
